[,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
29007,888,3672,15008,-158,182,-88,180448,89232
29147,924,3724,15072,-214,73,-108,180560,89302
29287,920,3752,15028,-178,39,-114,180545,89428
29427,828,3784,14856,-225,34,-109,180545,89394
29567,884,3760,14980,-151,29,-103,180498,89328
29707,948,3744,14960,-150,98,-9,180560,89314
29849,924,3780,14972,-75,-33,-47,180729,89377
29989,856,3776,14896,-230,23,-184,180604,89369
30129,948,3748,14860,-263,174,-155,180468,89437
30269,892,3736,14976,-235,129,-156,180597,89355
30409,848,3712,14856,-181,104,-68,180603,89404
30551,808,3688,15012,-179,115,-102,180724,89402
30691,812,3708,14928,-229,125,-113,180576,89327
30831,916,3692,14992,-206,71,-111,180623,89496
30971,928,3684,15036,-184,16,-75,180685,89436
31111,888,3820,15000,-223,171,-101,180688,89458
31253,964,3792,14916,-207,92,-103,180577,89338
31393,864,3712,14944,-179,47,-118,180696,89386
31533,944,3796,15000,-163,87,-68,180651,89511
31673,860,3756,15092,-207,23,-88,180748,89508
31813,948,3684,14900,-199,128,-36,180577,89423
31953,928,3736,15040,-168,-72,-92,180559,89428
32095,836,3708,14908,-186,67,-94,180734,89453
32235,948,3748,14928,-185,85,-88,180694,89500
32375,768,3616,14952,-158,66,-110,180610,89531
32515,812,3712,14960,-233,130,-106,180542,89482
32655,936,3704,14936,-236,81,-100,180554,89472
32797,872,3752,14988,-181,41,-82,180737,89517
32937,796,3788,14872,-229,86,-94,180749,89412
33077,880,3688,14960,-221,20,-63,180573,89605
33217,848,3664,14840,-221,52,-93,180607,89520
33357,888,3544,14948,-173,44,-8,180574,89515
33499,756,3756,15024,121,125,-113,180747,89447
33639,756,3548,14904,-256,160,-209,180873,89547
33779,648,3792,14900,-121,-120,105,180615,89602
33919,948,3784,14952,-334,124,-124,180572,89559
34059,892,3660,15044,-287,180,-117,180610,89530
34199,824,3652,15092,-193,65,-7,180651,89531
34341,832,3704,15044,-190,209,-117,180872,89570
34481,740,3512,15020,-142,98,-110,180704,89577
34621,816,3676,14904,-120,61,2,180614,89620
34761,860,3604,14980,-266,116,-71,180731,89543
34901,788,3660,15012,-135,-35,-46,180735,89603
35043,924,3656,15048,-96,-85,-76,180878,89535
35183,896,3636,15016,-286,106,-24,180878,89552
35323,808,3660,14948,-321,142,-134,180698,89631
35463,944,3492,15080,-282,118,-119,180776,89681
35603,824,3528,15060,-220,76,-70,180828,89655
35743,840,3592,14968,-172,108,-69,180875,89634
35885,856,3608,14924,-274,102,-90,180899,89627
36025,832,3532,15080,-198,10,-89,180755,89564
36165,864,3548,15052,-178,56,-104,180811,89719
36305,840,3588,14972,-127,-45,-83,180928,89705
36445,920,3592,14964,-167,83,-94,180943,89688
36585,944,3596,14980,-190,149,-42,180779,89657
36727,816,3552,15016,-199,93,-95,180934,89638
36867,916,3544,14972,-142,73,-96,180879,89700
37007,912,3532,15012,-214,93,-100,180917,89752
37147,824,3484,15116,-154,68,-107,180911,89701
37287,744,3452,14972,-167,24,-119,180825,89683
37429,1028,3544,15060,-137,-44,-31,181016,89717
37569,864,3544,15044,-70,22,31,180996,89662
37709,1000,3552,14956,-96,99,-58,181034,89862
37849,908,3644,15060,-122,122,-48,180863,89721
37989,956,3684,14860,-285,210,-86,180873,89750
38131,928,3476,14956,-183,316,-138,180942,89655
38271,872,3556,15072,-140,223,-137,181094,89729
38411,820,3628,14920,-112,60,-92,180916,89791
38551,788,3572,14988,-216,124,-137,180879,89816
38691,820,3604,14928,-205,91,-93,180908,89777
38831,708,3612,14940,-211,18,-132,180977,89727
38973,884,3572,15000,-203,143,-73,181102,89808
39113,860,3620,15032,-229,86,-117,180881,89715
39253,884,3468,14976,-221,48,-118,180874,89917
39393,876,3564,15136,-136,31,-101,180981,89835
39533,784,3524,14912,-224,67,-118,181031,89864
39675,900,3608,15000,-170,67,-51,180907,89786
39815,740,3540,15088,-149,75,-48,180991,89812
39955,760,3532,14968,-98,32,-4,180963,89879
40095,936,3532,15004,-115,-26,-57,180986,89915
40235,872,3628,14968,-114,83,5,181064,89851
40375,908,3636,14984,-195,112,-86,180844,89832
40517,940,3596,15108,-261,147,-165,181037,89844
40657,924,3532,15000,-186,144,-88,180987,89864
40797,756,3560,15092,-238,158,-95,181056,89986
40937,876,3620,14992,-227,-8,-64,180960,89944
41077,732,3528,14936,-215,66,-101,180923,89894
41217,956,3556,15036,-200,136,-90,180968,89849
41359,888,3500,14960,-140,123,-66,181181,89940
41499,832,3508,14964,-186,108,-99,181198,89879
41639,860,3568,15016,-143,-1,-59,181062,89985
41779,820,3504,14988,-192,35,-115,181041,89929
41919,872,3532,14900,-225,121,-105,181054,89940
42059,808,3480,15108,-162,127,-75,181110,89961
42201,924,3468,15056,-146,41,-83,181358,89961
42341,884,3536,15004,-197,-27,-141,181168,89966
42481,768,3524,15112,-256,-116,-21,181043,89988
42621,1072,3492,15028,-156,117,-93,181145,89988
42761,932,3476,15076,-123,95,-99,181157,89949
42903,920,3556,15112,-203,18,-71,181380,90004
43043,940,3524,15080,-408,55,-217,181307,89898
43183,1016,3256,14976,-161,-62,-130,181131,90082
43323,1156,3404,15064,-298,46,-138,181179,89988
43463,1092,3512,15056,-16,59,46,181230,89999
43605,1132,3452,15020,-92,166,-38,181379,90002
43745,1136,3488,14928,-220,98,-120,181507,89982
43885,1108,3612,15064,-217,62,-31,181232,90036
44025,1004,3352,15132,-292,22,-217,181270,90063
44165,1068,3476,15104,-187,119,-25,181304,90016
44305,1060,3408,14996,-239,130,-146,181366,89959
44447,976,3364,15068,-170,103,-75,181571,90062
