time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
63447,6740,12664,7780,-8247,-7175,1386,155617,71576
63587,7924,10228,8264,-7691,-7013,-354,155335,71428
63727,8876,9444,8332,-6641,-3783,-1103,155254,71386
63869,8508,9884,8952,-5689,-4791,-4381,155306,71456
64009,7704,7872,8664,-2698,-2498,-5603,155427,71523
64149,7872,10472,8240,-1547,-5189,-8981,155504,71591
64289,8424,11316,8752,1365,-4251,-10706,155517,71554
64429,6396,12964,7748,3263,-2188,-8249,155676,71495
64571,6088,12828,7380,1954,-4551,-4662,156116,71623
64711,5104,15228,6944,1990,1056,-1284,156235,71658
64851,4344,14336,6036,126,724,1060,156364,71776
64991,5376,14652,6080,-1993,1814,4591,156252,71650
65131,8652,13572,6328,-6379,-3245,11207,155996,71611
65273,10504,11064,7548,-5990,2992,11336,155805,71601
65413,9432,6416,8240,-2444,951,7101,155871,71586
65553,11216,5520,8952,-1206,597,3674,155620,71641
65693,11088,5236,9428,-1065,1335,943,155639,71529
65833,9552,4356,8096,3696,1466,-3212,155595,71557
65975,10020,7536,8960,7426,732,-8100,155655,71612
66115,10648,10732,7336,6505,4640,-7258,155891,71667
66255,6788,13908,7876,6185,1417,-6968,156539,71890
66395,5676,14064,5832,5015,7922,-3120,156477,71735
66535,6044,16052,5108,2790,9242,4417,156121,71688
66677,7756,15312,4828,-2456,12187,15157,155592,71547
66817,8236,12412,6592,-831,15444,16936,154663,71350
66957,8596,9484,8484,-914,10080,17985,154499,71487
67097,10196,6420,10580,1770,9918,13306,154333,71381
67237,7772,4880,10932,2419,4563,11228,154453,71377
67379,8404,4116,11636,3603,2473,9240,154641,71364
67519,9680,3868,12020,4461,1124,6179,154579,71369
67659,9324,4484,10992,4571,-1072,4262,154581,71479
67799,8624,6156,9308,9040,8808,1790,154627,71442
67939,4404,11236,9896,10205,1403,-2641,154764,71478
68081,3756,11940,10548,9559,-2144,-7958,154693,71332
68221,4656,14604,8904,8689,-1453,-8889,154504,71347
68361,3680,16172,6996,5255,-4040,-5452,154250,71373
68501,2252,14916,5288,338,-214,310,154710,71455
68641,2868,14772,5568,1199,3832,1654,155135,71524
68781,2608,16180,6240,-2768,3702,4430,155304,71526
68923,4476,15688,6080,-5669,2499,8990,155757,71646
69063,5660,13804,5520,-5038,690,9483,155816,71733
69203,7284,11184,6604,-2519,1441,9887,155770,71756
69343,9376,10860,7452,-849,1528,4209,155879,71729
69483,8632,9376,7376,170,-2259,-606,155626,71568
69625,9780,9088,8288,444,338,-2822,155831,71657
69765,8124,10100,7396,353,-3251,-6140,155862,71774
69905,7764,11772,6200,2171,-2092,-7943,156193,71920
70045,5856,14884,5132,4262,-1704,-10600,156542,71900
70185,4180,16604,5632,2748,78,-6630,156605,71919
70327,2744,14716,5300,2226,-752,-3661,156535,71870
70467,932,15560,4768,1393,-1532,-4402,156906,71972
70607,1728,16772,3984,70,-2517,-1711,156740,72038
70747,2460,15036,3992,-1728,-699,2430,156576,71878
70887,2156,15516,3788,-2889,-529,4501,156642,71945
71029,3164,16272,5084,-7066,-36,10148,156514,71879
71169,6744,13604,5580,-6237,769,8020,156363,71844
71309,6744,11676,6864,-2730,-739,2694,156213,71975
71449,7048,10464,7032,-2283,-1502,646,156326,71967
71589,8956,11388,7212,-3214,-3230,-5107,156650,72039
71731,7692,10900,7424,-3683,-6077,-6669,156761,71957
71871,5912,13008,8208,-4590,-3498,-7431,156854,72053
72011,5352,12872,7588,-7566,-10005,-11012,156937,72162
72151,5852,12828,8472,-5448,-10786,-12043,157096,72156
72291,6200,10384,8380,-2413,-11510,-9070,157126,72099
72433,5500,12500,8296,1214,-3449,-7006,156855,72004
72573,5448,13740,8204,-1632,-3964,-1297,157119,72053
