time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
109361,4412,-3384,15592,-1037,-548,-545,175263,85103
109501,2524,-7272,17212,-8493,1516,1495,174869,85109
109641,2180,-8668,13524,-15693,2227,4825,175102,85161
109781,848,-10040,6284,-14331,1139,3780,175170,85156
110002,1556,-6192,-5296,21358,-7256,903,175263,85087
110142,6832,-16592,21672,-8304,2353,3730,175643,85183
110745,8676,492,10648,-4832,307,2351,0,0
111200,2716,-8448,9216,-18388,642,12604,0,85064
111326,8356,-14036,18656,-5880,-7416,1533,177610,85535
111526,4004,-4900,10080,-2438,-1339,3153,175811,85315
111666,6196,-4608,13000,1198,-2780,225,175126,85092
111806,6308,-5348,14144,4687,-1965,1344,174792,84984
111948,5904,-4360,14120,3316,-1424,910,174868,85007
112088,6356,-3828,14308,1219,-512,-425,174419,84993
112228,6328,-7232,18832,-8958,9816,3666,174749,85140
112368,4548,-6848,13184,-20610,5265,4148,175787,85297
112508,6012,-9004,-2432,92,-5266,1076,174892,85085
112650,-4144,11132,27640,32767,3279,-18410,176020,85563
112790,-1256,-3616,16928,-9186,3787,1196,174711,84894
113393,6364,-1420,10540,-1019,6426,-2292,0,0
113996,-416,-7464,2892,-11043,679,5973,0,0
114599,4756,-3304,14124,1995,1153,-1289,0,0
115202,-3336,-2144,-2124,32767,1515,-14052,0,0
115805,2136,-4392,14180,-2588,397,1700,0,0
116039,184,-7748,11908,-4685,-1152,1283,175137,85125
116179,3340,8452,32767,5424,-14294,-842,177306,85672
116319,1632,44,13596,-6884,-6950,-192,175906,85492
116459,1912,-2060,18788,-9021,169,112,176049,85473
116599,2048,-5468,13640,-20458,3600,3583,176044,85400
116739,-1264,-10200,8988,-14527,3417,6753,176360,85489
116881,-2428,-9804,2388,-2165,-2449,566,176813,85703
117021,-4052,976,14924,32767,-963,-5999,176699,85829
117161,1324,-7744,19412,-7620,-6801,-2313,177937,86062
117301,1168,-3568,12724,-205,94,26,176650,85592
117441,2740,-3972,15564,-70,-701,-53,176526,85634
117583,2200,-5324,16344,-3904,848,952,176487,85530
117723,1688,-6320,14912,-7924,1049,6704,176529,85595
117863,1000,-6344,12184,-5450,726,4013,176215,85637
118003,-1272,-8252,10012,6,-3166,431,175945,85487
118143,-5892,-5944,5460,26049,3800,-23011,174303,85187
118283,10916,-6828,18148,-2972,-1850,264,176566,85455
118425,1164,-2092,13304,-1204,-23,367,175260,85279
118565,4380,-2284,17068,-2213,-373,1319,174941,85244
118705,4368,-4404,16172,-8497,-89,4406,174626,85248
118845,2368,-6720,12992,-10462,835,8795,174943,85213
