time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
101763,-864,14796,5360,37,-123,-314,167769,81919
101903,-764,14956,5568,45,327,-107,167792,81943
102045,-1132,14888,5604,-64,280,-139,167829,81917
102185,-1132,14860,5308,-194,-71,-204,167948,81908
102325,-1128,14936,5344,-39,381,-68,167883,81998
102465,-1072,14900,5540,-179,325,25,167845,82018
102605,-1132,14952,5336,-309,-3,-15,167842,81982
102745,-1028,14944,5464,-372,-81,-90,167949,81892
102887,-1056,14860,5396,-6,86,-192,168016,81971
103027,-968,15032,5548,-142,-85,27,167884,82011
103167,-948,14924,5404,-225,-149,-74,167923,82076
103307,-944,14892,5504,-41,-32,-88,167985,82004
103447,-952,14908,5608,-52,109,-89,167986,82021
103589,-1000,14908,5592,-253,238,37,168037,81960
103729,-1020,14828,5352,-178,385,-64,168019,82020
103869,-968,15068,5324,-169,186,93,168049,82106
104009,-1088,15064,5312,-189,-243,-12,168125,82081
104149,-960,14888,5348,171,-427,-325,168013,82066
104289,-884,14988,5476,29,-402,-216,168017,82049
104431,-740,15056,5420,-95,-128,72,168201,82041
104571,-856,15108,5336,-32,208,-54,168149,82100
104711,-796,15036,5320,-343,213,-45,168038,82115
104851,-900,14992,5280,-241,143,-18,168076,82084
104991,-864,15024,5340,-213,363,-94,168120,82074
105133,-824,14932,5228,-85,249,-209,168302,82075
105273,-812,14688,5296,-147,278,-44,168081,82031
105413,-372,15208,5492,-35,190,62,168045,82200
105553,-740,15080,5156,-485,199,498,168104,82094
105693,-1208,14888,5516,-417,-549,-128,168153,82123
105835,-736,15008,5412,-317,-82,-654,168086,81994
105975,-616,14832,5320,150,259,-242,168181,82077
106115,-836,14936,5632,176,298,-57,168097,82185
106255,-908,14936,5576,-261,432,95,168166,82170
106395,-908,14980,5336,-280,566,24,168035,82104
106535,-980,14996,5372,-243,773,178,168038,82106
106677,-1132,15112,5400,-310,817,108,168186,82135
106817,-1160,14976,5208,-378,795,-93,168185,82178
106957,-1088,14932,5084,-196,602,-360,168058,82190
107097,-1128,15080,5252,-175,81,-321,168140,82156
107237,-1248,14844,5344,-100,-60,-296,168144,82176
107379,-1120,14912,5540,195,36,-294,168361,82169
107519,-1200,14900,5616,-53,329,134,168120,82107
107659,-1284,14984,5276,-569,726,409,168153,82272
107799,-1392,14936,5084,-370,700,304,168249,82254
107939,-1428,14956,5256,56,402,15,168322,82227
108079,-1424,15020,5572,2,381,-69,168249,82208
108221,-1264,14816,5272,-286,442,-71,168363,82216
108361,-1272,14920,5088,-284,459,214,168290,82278
108501,-1440,15004,5300,-248,371,375,168337,82309
108641,-1624,14808,5400,-335,208,-296,168322,82286
108781,-1204,15080,5312,-31,406,-340,168302,82209
108923,-1276,14936,5388,-385,257,26,168454,82266
109063,-1388,14924,5364,-281,317,97,168449,82251
109203,-1528,15004,5320,-107,317,-32,168452,82425
109343,-1812,14892,5348,-146,-425,-269,168424,82267
109483,796,15096,5512,-450,-11644,-1929,168215,82219
109625,-668,14556,5496,-852,1123,119,168462,82177
109765,-1152,14636,5516,-204,2887,782,168830,82363
109905,-1372,14624,5856,392,2236,-47,168965,82491
